medicine_id,medicine_name,category,company,dosage_mg,pack_size,manufacturing_cost,import_status,demand_level,expiry_months,prescription_required,price
1,Napa,Injection,Renata,500,1,147.61,Local,Low,12,1,199.33
2,Ace,Tablet,Incepta,500,5,106.09,Local,Low,18,0,146.89
3,Paracetamol,Capsule,NovoNordisk,100,5,59.57,Local,Low,16,1,109.1
4,Ace,Tablet,Square,100,1,119.89,Local,Medium,33,0,220.83
5,Ace,Syrup,NovoNordisk,1000,20,92.61,Imported,Low,36,1,247.41
6,Seclo,Injection,Beximco,100,5,144.51,Imported,Medium,17,1,328.47
7,Napa,Tablet,Beximco,250,10,149.94,Local,Low,30,0,249.67
8,Seclo,Injection,Square,250,1,51.01,Imported,High,31,1,283.38
9,Ceevit,Syrup,Renata,250,5,95.62,Imported,High,33,0,312.04
10,Ceevit,Tablet,Beximco,1000,20,196.52,Imported,High,8,1,652.13
11,Napa,Tablet,Beximco,50,5,86.77,Local,Medium,19,0,112.84
12,Napa,Injection,Renata,500,20,55.98,Local,Medium,25,0,87.38
13,Seclo,Tablet,NovoNordisk,1000,20,58.37,Imported,Low,17,1,248.98
14,Ceevit,Syrup,Beximco,1000,1,42.36,Local,High,18,0,102.41
15,Ace,Tablet,NovoNordisk,100,10,145.43,Imported,High,24,1,353.17
16,Insulin,Syrup,Beximco,250,20,133.37,Local,Medium,9,1,300.42
17,Insulin,Tablet,Renata,500,20,30.64,Imported,Low,22,1,104.42
18,Insulin,Capsule,Incepta,100,1,17.51,Imported,High,8,0,184.08
19,Seclo,Injection,NovoNordisk,250,1,49.64,Local,High,36,1,115.62
20,Napa,Syrup,Square,250,1,49.6,Imported,High,17,0,269.97
21,Seclo,Tablet,Beximco,50,5,85.98,Imported,High,12,1,265.59
22,Histacin,Tablet,Incepta,1000,20,46.66,Imported,Low,21,0,226.45
23,Napa,Injection,Beximco,250,10,116.75,Local,High,18,0,307.81
24,Insulin,Capsule,Renata,100,10,87.59,Imported,Medium,29,0,236.66
25,Napa,Capsule,NovoNordisk,250,1,64.49,Local,Low,18,1,109.2
26,Ceevit,Injection,NovoNordisk,50,1,107.61,Local,Medium,13,0,201.88
27,Paracetamol,Injection,Incepta,1000,1,95.38,Imported,Medium,19,0,187.7
28,Ceevit,Syrup,Beximco,100,1,156.19,Imported,High,34,1,525.18
29,Paracetamol,Syrup,Incepta,1000,5,91.57,Local,Medium,12,0,201.61
30,Ceevit,Injection,Renata,100,20,156.91,Local,Medium,7,0,327.52
31,Ace,Capsule,Renata,500,1,61.79,Imported,High,14,0,262.07
32,Histacin,Capsule,Renata,100,20,48.89,Local,Medium,6,1,76.64
33,Paracetamol,Injection,NovoNordisk,100,20,71.28,Local,Low,27,0,148.33
34,Napa,Syrup,Beximco,500,1,121.33,Local,Low,24,0,281.8
35,Ceevit,Injection,Square,250,10,132.34,Local,Medium,20,1,238.4
36,Ace,Tablet,Beximco,50,1,151.31,Imported,High,11,1,372.33
37,Seclo,Capsule,Beximco,500,20,95.47,Imported,High,32,0,376.48
38,Napa,Injection,NovoNordisk,100,1,49.05,Local,Low,24,1,74.03
39,Napa,Syrup,Renata,250,1,71.99,Imported,High,28,1,274.99
40,Histacin,Syrup,Beximco,100,10,167.77,Imported,Low,28,0,522.42
41,Ceevit,Capsule,Renata,250,10,151.89,Local,Medium,13,1,355.78
42,Paracetamol,Syrup,Beximco,1000,20,184.46,Local,Medium,14,0,250.94
43,Ceevit,Injection,Renata,50,5,59.56,Local,Medium,29,0,140.78
44,Histacin,Capsule,Beximco,100,20,185.26,Imported,Medium,16,1,466.23
45,Napa,Tablet,Beximco,100,1,172.77,Imported,High,29,1,525.51
46,Histacin,Capsule,Renata,500,10,173.22,Imported,Medium,23,0,408.22
47,Ceevit,Syrup,NovoNordisk,500,20,145.8,Local,Medium,6,1,223.77
48,Paracetamol,Injection,Beximco,100,5,140.81,Local,High,27,1,384.2
49,Paracetamol,Syrup,NovoNordisk,250,20,34.6,Local,High,31,1,86.33
50,Ace,Capsule,Incepta,100,10,159.45,Imported,Low,24,1,362.73
51,Histacin,Injection,Incepta,500,20,108.07,Local,Low,28,0,213.38
52,Paracetamol,Syrup,Square,250,10,92.15,Local,Low,16,1,162.64
53,Ceevit,Injection,Incepta,50,5,79.31,Local,Medium,34,1,190.77
54,Seclo,Tablet,Renata,250,10,17.82,Local,High,12,0,74.84
55,Paracetamol,Capsule,Beximco,500,1,24.55,Imported,High,30,1,180.71
56,Ace,Injection,Square,250,20,69.89,Imported,High,22,0,317.54
57,Ace,Injection,Incepta,100,5,58.42,Local,High,24,1,146.04
58,Ceevit,Tablet,Incepta,50,20,23.46,Imported,Low,6,1,124.58
59,Paracetamol,Syrup,Beximco,1000,20,189.58,Local,High,34,0,449.65
60,Insulin,Injection,Renata,1000,5,129.67,Local,Low,21,1,229.04
61,Histacin,Tablet,Square,50,10,71.25,Local,Medium,6,1,98.84
62,Histacin,Capsule,Beximco,100,10,131.14,Local,Medium,14,0,253.46
63,Seclo,Tablet,Square,50,10,26.62,Local,High,8,0,103.78
64,Ace,Injection,NovoNordisk,1000,1,193.05,Imported,Low,36,0,493.49
